date,time,calls
01/02/2016,0,0
01/02/2016,20,1
01/02/2016,40,0
01/02/2016,60,0
01/02/2016,80,0
01/02/2016,100,1
01/02/2016,120,0
01/02/2016,140,1
01/02/2016,160,0
01/02/2016,180,1
01/02/2016,200,2
01/02/2016,220,1
01/02/2016,240,3
01/02/2016,260,2
01/02/2016,280,3
01/02/2016,300,1
01/02/2016,320,9
01/02/2016,340,7
01/02/2016,360,4
01/02/2016,380,4
01/02/2016,400,1
01/02/2016,420,9
01/02/2016,440,3
01/02/2016,460,5
01/02/2016,480,1
01/02/2016,500,1
01/02/2016,520,5
01/02/2016,540,2
01/02/2016,560,1
01/02/2016,580,2
01/02/2016,600,1
01/02/2016,620,2
01/02/2016,640,4
01/02/2016,660,2
01/02/2016,680,2
01/02/2016,700,5
01/02/2016,720,3
01/02/2016,740,1
01/02/2016,760,0
01/02/2016,780,3
01/02/2016,800,2
01/02/2016,820,0
01/02/2016,840,5
01/02/2016,860,1
01/02/2016,880,4
01/02/2016,900,2
01/02/2016,920,1
01/02/2016,940,4
01/02/2016,960,3
01/02/2016,980,1
01/02/2016,1000,1
01/02/2016,1020,4
01/02/2016,1040,7
01/02/2016,1060,1
01/02/2016,1080,1
01/02/2016,1100,3
01/02/2016,1120,3
01/02/2016,1140,5
01/02/2016,1160,5
01/02/2016,1180,3
01/02/2016,1200,3
01/02/2016,1220,5
01/02/2016,1240,6
01/02/2016,1260,3
01/02/2016,1280,5
01/02/2016,1300,3
01/02/2016,1320,1
01/02/2016,1340,2
01/02/2016,1360,1
01/02/2016,1380,1
01/02/2016,1400,2
01/02/2016,1420,0
02/02/2016,0,2
02/02/2016,20,0
02/02/2016,40,1
02/02/2016,60,1
02/02/2016,80,0
02/02/2016,100,0
02/02/2016,120,0
02/02/2016,140,0
02/02/2016,160,1
02/02/2016,180,2
02/02/2016,200,0
02/02/2016,220,3
02/02/2016,240,3
02/02/2016,260,1
02/02/2016,280,3
02/02/2016,300,2
02/02/2016,320,5
02/02/2016,340,3
02/02/2016,360,2
02/02/2016,380,5
02/02/2016,400,5
02/02/2016,420,9
02/02/2016,440,6
02/02/2016,460,5
02/02/2016,480,2
02/02/2016,500,6
02/02/2016,520,2
02/02/2016,540,4
02/02/2016,560,2
02/02/2016,580,2
02/02/2016,600,2
02/02/2016,620,1
02/02/2016,640,5
02/02/2016,660,0
02/02/2016,680,0
02/02/2016,700,2
02/02/2016,720,1
02/02/2016,740,1
02/02/2016,760,1
02/02/2016,780,3
02/02/2016,800,2
02/02/2016,820,0
02/02/2016,840,2
02/02/2016,860,1
02/02/2016,880,1
02/02/2016,900,2
02/02/2016,920,4
02/02/2016,940,2
02/02/2016,960,1
02/02/2016,980,2
02/02/2016,1000,1
02/02/2016,1020,2
02/02/2016,1040,2
02/02/2016,1060,3
02/02/2016,1080,0
02/02/2016,1100,5
02/02/2016,1120,2
02/02/2016,1140,5
02/02/2016,1160,0
02/02/2016,1180,3
02/02/2016,1200,6
02/02/2016,1220,4
02/02/2016,1240,1
02/02/2016,1260,5
02/02/2016,1280,4
02/02/2016,1300,3
02/02/2016,1320,4
02/02/2016,1340,1
02/02/2016,1360,1
02/02/2016,1380,2
02/02/2016,1400,1
02/02/2016,1420,3
03/02/2016,0,1
03/02/2016,20,2
03/02/2016,40,0
03/02/2016,60,0
03/02/2016,80,2
03/02/2016,100,0
03/02/2016,120,0
03/02/2016,140,0
03/02/2016,160,0
03/02/2016,180,1
03/02/2016,200,1
03/02/2016,220,2
03/02/2016,240,0
03/02/2016,260,4
03/02/2016,280,2
03/02/2016,300,6
03/02/2016,320,2
03/02/2016,340,3
03/02/2016,360,2
03/02/2016,380,6
03/02/2016,400,2
03/02/2016,420,1
03/02/2016,440,6
03/02/2016,460,3
03/02/2016,480,3
03/02/2016,500,1
03/02/2016,520,2
